ISO639-1,lang_ja,lang
aa,アファル語,Afar
ab,アブハズ語,Abkhazian
ae,アベスタ語,Avestan
af,アフリカーンス語,Afrikaans
ak,アカン語,Akan
am,アムハラ語,Amharic; Abyssinian
an,アラゴン語,Aragonese
ar,アラビア語,Arabic
as,アッサム語,Assamese
av,アバール語,Avaric
ay,アイマラ語,Aymara
az,アゼルバイジャン語,Azerbaijani
ba,バシュキール語,Bashkir
be,白ロシア語；ベラルーシ語,Belarusian; Byelorussian
bg,ブルガリア語,Bulgarian
bh,ビハール語,Bihari languages
bi,ビスラマ語,Bislama
bm,バンバラ語,Bambara
bn,ベンガル語,Bengali; Bangla
bo,チベット語,Tibetan
br,ブルトン語,Breton
bs,ボスニア語,Bosnian
ca,カタロニア語,Catalan
ce,チェチェン語,Chechen
ch,チャモロ語,Chamorro
co,コルシカ語,Corsican
cr,クリー語,Cree
cs,チェコ語,Czech
cu,教会スラブ語,Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic
cv,チュワシュ語,Chuvash
cy,ウェールズ語,Welsh
da,デンマーク語,Danish
de,ドイツ語,German
dv,ディベヒ語；モルジブ語,Divehi; Dhivehi; Maldivian
dz,ゾンカ語；ブータン語,Dzongkha; Bhutani; Butanese
ee,エウェ語群；エベ語群,Ewe
el,現代ギリシア語,Modern Greek (post 1453)
en,英語,English
eo,エスペラント語,Esperanto
es,スペイン語；カスティーヤ語,Spanish; Castilian
et,エストニア語,Estonian
eu,バスク語,Basque
fa,ペルシア語,Farsi; Persian
ff,フラニ語；フルフルデ語,Fulah
fi,フィンランド語,Finnish
fj,フィジー語,Fijian
fo,フェーロー語,Faroese; Faeroese
fr,フランス語,French
fy,フリジア語；西フリジア語,Western Frisian
ga,アイルランド語,Irish
gd,高地スコットランド・ゲール語,Gaelic; Scottish Gaelic; Gaelic (Scots)
gl,ガリシア語,Galician
gn,グァラニ語；ワラニー語,Guarani
gu,グジャラート語,Gujarati
